"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"195","Prss23",0,-1.4660027849368,0.225,0.822,0
"196","Psmb8",0,1.56988647786962,0.607,0.162,0
"197","Ptgis",0,-1.52124550379318,0.364,0.969,0
"198","Ptpn2",0,1.50653541254551,0.707,0.42,0
"199","Rasd1",0,1.92965395904252,0.47,0.039,0
"200","Rcn3",0,-1.38284586828398,0.53,0.973,0
"201","Reck",0,-0.989598562169005,0.355,0.83,0
"202","Rgs3",0,-1.13209926052696,0.188,0.668,0
"203","Rgs7bp",0,1.47044050173459,0.672,0.361,0
"204","Rin2",0,-0.761556833402914,0.206,0.667,0
"205","Rnf213",0,2.00558632483846,0.657,0.171,0
"206","Rtp4",0,1.87631132446769,0.693,0.117,0
"207","S100a10",0,-1.75143002365659,0.533,0.971,0
"208","S100a6",0,-1.29202582714874,0.776,0.995,0
"209","Samhd1",0,2.00952541059759,0.752,0.578,0
"210","Scarf2",0,-0.826552866246384,0.305,0.798,0
"211","Scx",0,-0.621150425712094,0.022,0.373,0
"212","Sdcbp",0,1.3905995493738,0.885,0.782,0
"213","Sdf4",0,-0.711291438967947,0.528,0.935,0
"214","Selenos",0,-0.780100760936975,0.525,0.936,0
"215","Serpine1",0,-1.76489197197297,0.262,0.729,0
"216","Serpinf1",0,-2.3510456419972,0.838,0.999,0
"217","Serpinh1",0,-1.03433812237147,0.682,0.977,0
"218","Sfrp2",0,-3.76120504212982,0.041,0.874,0
"219","Slc35e4",0,-0.839405301675797,0.228,0.707,0
"220","Slc38a1",0,-0.662848110110386,0.194,0.659,0
"221","Slc39a13",0,-0.459325915368268,0.076,0.463,0
"222","Slc39a7",0,-0.515877649718417,0.252,0.701,0
"223","Slfn5",0,1.64757621218223,0.533,0.138,0
"224","Smco4",0,-0.514282207291128,0.117,0.541,0
"225","Sntb2",0,1.31662828451795,0.874,0.743,0
"226","Sod2",0,2.03074569823207,0.864,0.726,0
"227","Sparc",0,-2.60744433224979,0.962,1,0
"228","Sparcl1",0,2.0494400868398,0.497,0.028,0
"229","Srpx2",0,-1.0074239091979,0.096,0.622,0
"230","Ssh1",0,-0.955042996504908,0.231,0.705,0
"231","Ssr4",0,-0.815379760647102,0.667,0.967,0
"232","Steap3",0,-0.800845493875508,0.079,0.556,0
"233","Susd6",0,1.0483964579439,0.734,0.656,0
"234","Svep1",0,-1.44712260354388,0.2,0.816,0
"235","Tagln2",0,1.38228011258317,0.811,0.609,0
"236","Tbx3",0,1.45369500764535,0.537,0.202,0
"237","Tceal3",0,-0.507657187352167,0.193,0.624,0
"238","Tenm3",0,-0.97400215103179,0.354,0.839,0
"239","Tgfb2",0,-1.08328857089196,0.349,0.869,0
"240","Tgfb3",0,-1.35944649356496,0.314,0.919,0
"241","Thbs1",0,-1.74075107707468,0.608,0.972,0
"242","Thbs2",0,-1.02159780324469,0.574,0.954,0
"243","Thbs4",0,-2.0008291219002,0.057,0.541,0
"244","Timp2",0,-1.55791355203114,0.928,0.999,0
"245","Timp3",0,-1.10038721611989,0.922,0.999,0
"246","Tmed3",0,-1.14691963642001,0.285,0.868,0
"247","Tmem140",0,2.19837986557691,0.694,0.171,0
"248","Tmem255b",0,-0.883014437307822,0.044,0.622,0
"249","Tmem37",0,1.90775182588262,0.483,0.045,0
"250","Tnc",0,-1.5015192031096,0.035,0.642,0
"251","Tnfrsf1a",0,0.9153666566812,0.799,0.712,0
"252","Tnmd",0,-2.86952304997444,0.167,0.804,0
"253","Tpm1",0,-1.13354892137633,0.666,0.962,0
"254","Tpt1",0,0.871502107201651,0.999,0.999,0
"255","Tspan6",0,-1.39425477976883,0.263,0.738,0
"256","Tubb6",0,1.10259761637079,0.818,0.668,0
"257","Tvp23b",0,-0.475327599312183,0.209,0.646,0
"258","Txndc5",0,-0.643058205498043,0.287,0.782,0
"259","Ubb",0,1.05665649542945,0.999,0.994,0
